assay_chembl_id,compound_chembl_id,pchembl_value,activity,canonical_smiles
CHEMBL811944,CHEMBL47203,5.92,0,CN1CCN(C2CCC(n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1
CHEMBL811944,CHEMBL47940,5.35,0,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1
CHEMBL811947,CHEMBL21156,5.85,0,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1
CHEMBL816965,CHEMBL47787,4.47,0,COc1cc(-c2nn(C3CCC(N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)OCc1ccccc1
CHEMBL817616,CHEMBL353281,5.55,0,COc1ccc(-c2cnc3cc(-c4ccccc4)ccn23)cn1
CHEMBL817617,CHEMBL306380,5.8,0,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
CHEMBL817617,CHEMBL306012,5.57,0,CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21
CHEMBL817617,CHEMBL419082,6.0,1,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O
CHEMBL817617,CHEMBL307982,6.37,1,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21
CHEMBL817617,CHEMBL69129,7.07,1,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1
CHEMBL817617,CHEMBL69638,5.15,0,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1
CHEMBL817617,CHEMBL69827,6.57,1,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1
CHEMBL817617,CHEMBL302281,5.64,0,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21
CHEMBL817617,CHEMBL304760,5.57,0,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1
CHEMBL818932,CHEMBL121405,5.85,0,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1
CHEMBL818932,CHEMBL2111784,5.77,0,CC(Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1
CHEMBL818933,CHEMBL83656,7.15,1,COc1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1
CHEMBL818933,CHEMBL316384,7.43,1,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc32)cc1
CHEMBL818933,CHEMBL84332,7.43,1,O=c1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cn1CCCN1CCCCC1
CHEMBL818933,CHEMBL83279,7.85,1,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)ccc32)cc1
CHEMBL818933,CHEMBL81026,6.95,1,COc1ccc(-c2ccc3c(c2)ncn3-c2ccccc2)cc1
