assay_chembl_id,compound_chembl_id,pchembl_value,activity,canonical_smiles
CHEMBL829496,CHEMBL435507,5.62,0,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1
CHEMBL829496,CHEMBL104468,4.89,0,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12
CHEMBL831920,CHEMBL188678,5.3,0,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12
CHEMBL831920,CHEMBL98350,5.64,0,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
CHEMBL871583,CHEMBL379156,6.03,1,O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)S1
CHEMBL871583,CHEMBL210991,5.9,0,O=C1NC(=O)C(=Cc2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1
CHEMBL871583,CHEMBL211173,6.72,1,O=C1NC(=O)C(=Cc2ccc(-c3ccc(O)cc3O)o2)S1
CHEMBL871583,CHEMBL437688,6.22,1,O=C1NC(=S)SC1=Cc1ccc(-c2cc([N+](=O)[O-])ccc2O)o1
CHEMBL871583,CHEMBL208652,6.48,1,O=C1NC(=O)C(=Cc2ccc(-c3ccccc3O)o2)S1
CHEMBL871583,CHEMBL377175,6.34,1,O=C1NC(=O)C(=Cc2ccc(-c3cc(F)ccc3O)o2)S1
CHEMBL871583,CHEMBL212119,6.26,1,O=C1NC(=O)C(=Cc2ccc(-c3cc(Cl)ccc3O)o2)S1
CHEMBL871583,CHEMBL208696,5.87,0,O=C1NC(=O)C(=Cc2ccc(-c3cc(C(=O)O)ccc3O)o2)S1
CHEMBL871583,CHEMBL428496,9.0,1,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
CHEMBL871583,CHEMBL378528,6.73,1,O=C1NC(=O)C(=Cc2ccc(-c3ccccn3)o2)S1
CHEMBL871583,CHEMBL211759,5.44,0,O=C1NC(=O)C(=Cc2ccc(-c3ccc(O)cc3)o2)S1
CHEMBL871583,CHEMBL209159,6.47,1,O=C1NC(=O)C(=Cc2ccc(-c3cc(F)cc(F)c3O)s2)S1
CHEMBL871583,CHEMBL211819,7.0,1,O=C1NC(=O)C(=Cc2ccc(-c3cc(O)ccc3O)o2)S1
CHEMBL871583,CHEMBL377104,6.3,1,Cc1ccc(O)c(-c2ccc(C=C3SC(=O)NC3=O)o2)c1
CHEMBL871583,CHEMBL378999,6.66,1,N#Cc1ccc(O)c(-c2ccc(C=C3SC(=O)NC3=O)o2)c1
CHEMBL871583,CHEMBL209193,4.7,0,O=C1NC(=O)C(=Cc2ccc(-c3ccc4c(c3)OCO4)o2)S1
CHEMBL871583,CHEMBL208662,5.75,0,O=C1NC(=O)C(=Cc2ccc(-c3cccc(O)c3)o2)S1
CHEMBL871583,CHEMBL211768,6.22,1,O=C1NC(=O)C(=Cc2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1
CHEMBL871583,CHEMBL211068,6.0,1,O=C1NC(=O)C(=Cc2ccc(-c3ccc(O)cc3F)o2)S1
CHEMBL871583,CHEMBL376984,6.2,1,O=C1NC(=O)C(=Cc2ccc(-c3cccnc3)o2)S1
CHEMBL871583,CHEMBL377152,6.68,1,COC(=O)c1ccc(-c2ccc(C=C3SC(=O)NC3=O)o2)c(O)c1
CHEMBL887586,CHEMBL534951,7.62,1,O=C(O)COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
CHEMBL887586,CHEMBL390850,5.85,0,c1cnc2sc3c(N4CCOCC4)ncnc3c2c1
CHEMBL887586,CHEMBL537877,7.0,1,COc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
CHEMBL887586,CHEMBL541647,5.62,0,c1ccc2c(c1)sc1c(N3CCOCC3)ncnc12
CHEMBL887586,CHEMBL3216005,6.77,1,c1cc(OCCN2CCCCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
CHEMBL887586,CHEMBL541643,8.6,1,Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1
CHEMBL887586,CHEMBL3216649,6.85,1,Nc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
CHEMBL887586,CHEMBL388480,6.8,1,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1
CHEMBL887586,CHEMBL390623,6.4,1,Oc1ccccc1-c1nc(N2CCOCC2)c2oc3ncccc3c2n1
CHEMBL887586,CHEMBL3216006,7.8,1,c1cc(OCCN2CCOCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
CHEMBL887586,CHEMBL3215760,7.1,1,c1cc(OCCN2CCSCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
CHEMBL887586,CHEMBL230131,6.25,1,c1cnc2oc3c(N4CCOCC4)ncnc3c2c1
CHEMBL887586,CHEMBL541906,7.58,1,Oc1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1
CHEMBL887586,CHEMBL230239,5.77,0,c1ccc(-c2nc(N3CCOCC3)c3sc4ncccc4c3n2)cc1
CHEMBL887586,CHEMBL538346,8.44,1,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1
CHEMBL895747,CHEMBL230011,5.89,0,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1
CHEMBL899007,CHEMBL239050,6.07,1,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1cnc2ccccn12
CHEMBL899007,CHEMBL393525,8.11,1,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1cnc2ccc(Br)cn12
CHEMBL899007,CHEMBL393747,5.64,0,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1ccnc2ccccc12
