target,fingerprint,split,accuracy,precision,recall,f1,auroc,auprc
CHEMBL4078,ECFP,train,0.8802690582959641,0.8598984771573605,0.867827868852459,0.8638449770525243,0.9525117983109787,0.9386284678424787
CHEMBL4078,ECFP,scaffold,0.7577388963660835,0.7103448275862069,0.6821192052980133,0.6959459459459459,0.7987265546395159,0.7300916653696975
CHEMBL4078,ECFP,random,0.842741935483871,0.8172043010752689,0.7755102040816326,0.7958115183246073,0.9128495842781557,0.8860596432961853
CHEMBL4078,MACCS Keys,train,0.873542600896861,0.8375486381322957,0.882172131147541,0.8592814371257484,0.9473226658299998,0.9355914467054963
CHEMBL4078,MACCS Keys,scaffold,0.7590847913862718,0.6869300911854104,0.7483443708609272,0.716323296354992,0.7781269240588068,0.7189885622746307
CHEMBL4078,MACCS Keys,random,0.8413978494623656,0.7838709677419354,0.826530612244898,0.804635761589404,0.901708238851096,0.8746815167970912
CHEMBL4078,AP2,train,0.8497757847533632,0.8356020942408376,0.8176229508196722,0.8265147591921285,0.9239033453604204,0.8985681089083495
CHEMBL4078,AP2,scaffold,0.7335127860026918,0.6768707482993197,0.6589403973509934,0.6677852348993288,0.7671982700364914,0.7171902056631572
CHEMBL4078,AP2,random,0.8158602150537635,0.7697594501718213,0.7619047619047619,0.7658119658119659,0.8756386999244142,0.8408191587438247
CHEMBL4078,AP3,train,0.8600896860986547,0.8429752066115702,0.8360655737704918,0.8395061728395061,0.933203911417889,0.9153168486983839
CHEMBL4078,AP3,scaffold,0.7375504710632571,0.6698412698412698,0.6986754966887417,0.6839546191247974,0.7747631061254524,0.7159513675806203
CHEMBL4078,AP3,random,0.8239247311827957,0.7781569965870307,0.7755102040816326,0.7768313458262351,0.8922751322751322,0.8595643294321146
CHEMBL4078,AP2+AP3,train,0.8757847533632287,0.856996935648621,0.8596311475409836,0.858312020460358,0.9440311495019218,0.9285773534251541
CHEMBL4078,AP2+AP3,scaffold,0.7590847913862718,0.7142857142857143,0.6788079470198676,0.6960950764006791,0.7820125842831613,0.7272051594984817
CHEMBL4078,AP2+AP3,random,0.8373655913978495,0.7993079584775087,0.7857142857142857,0.7924528301886793,0.8981972789115648,0.8700366390810593
